group	x	y
0	1.4539049351467868	-1.0102173156371943
0	0.6013850398215805	-0.08867086513951766
0	0.3176091482936213	-0.21811674458966623
0	-0.3223421531370341	-2.5
0	1.4105617096248835	-2.5
1	1.4105617096248835	-2.5
1	2.5	-2.5
1	2.5	-0.21702813061667467
1	1.453904935146787	-1.0102173156371939
2	2.5	2.5
2	0.14825870518710585	2.5
2	0.8166143735402501	0.49395055910792773
2	2.5	0.7675100737695705
3	2.5	-0.21702813061667509
3	2.5	0.7675100737695705
3	0.81661437354025	0.49395055910792773
3	0.6013850398215805	-0.08867086513951766
3	1.4539049351467868	-1.0102173156371943
4	0.1482587051871057	2.5
4	-2.5	2.5
4	-2.5	1.0728042277285361
4	0.3176091482936214	-0.2181167445896662
4	0.6013850398215804	-0.08867086513951766
4	0.81661437354025	0.4939505591079275
5	-2.5	1.0728042277285361
5	-2.5	-2.5
5	-0.3223421531370341	-2.5
5	0.31760914829362125	-0.21811674458966612
