group	x	y
0	-2.5	-2.5
0	1.2943855102658983	-2.5
0	1.058961505349259	-0.9966032662901815
0	0.36645371310121744	-0.40108584690737065
0	-2.5	-2.2723446498158264
1	2.5	-2.5
1	2.5000000000000004	0.026916160016594567
1	2.056654996321463	0.019941143751607937
1	1.058961505349259	-0.9966032662901813
1	1.2943855102658985	-2.5
2	2.5000000000000004	0.026916160016594567
2	2.5	2.5
2	1.228394310289963	2.5
2	1.0370038431223063	0.985459828202749
2	2.056654996321463	0.01994114375160793
3	1.0589615053492591	-0.9966032662901815
3	2.0566549963214635	0.019941143751607777
3	1.0370038431223063	0.985459828202749
3	0.35734362140843906	0.3717622173870991
3	0.3664537131012174	-0.40108584690737054
4	1.228394310289963	2.5
4	-2.5	2.5
4	-2.5	2.124316996481085
4	0.35734362140843906	0.37176221738709925
4	1.0370038431223063	0.9854598282027492
5	-2.5	-2.2723446498158264
5	0.36645371310121727	-0.40108584690737065
5	0.357343621408439	0.37176221738709925
5	-2.5	2.124316996481085
