group	x	y
0	-2.5	-2.5
0	-0.25478665099781644	-2.5
0	-0.5019858822570153	-0.8123940295928141
0	-1.1611959135909775	-0.23711025498220345
0	-2.5	-1.0800310876405201
1	0.3297428641942454	0.0038221863334445124
1	-0.5019858822570153	-0.8123940295928139
1	-0.25478665099781656	-2.5
1	2.5	-2.5
1	2.5	0.0001872887988706498
2	2.5	0.0001872887988706498
2	2.5	2.5
2	-0.2625011341666333	2.5
2	-0.5009308630264022	0.8199225833695702
2	0.3297428641942457	0.0038221863334445124
3	-0.5019858822570153	-0.812394029592814
3	0.32974286419424553	0.00382218633344451
3	-0.5009308630264022	0.81992258336957
3	-1.1622810146946088	0.23921460342871406
3	-1.1611959135909777	-0.2371102549822032
4	-0.2625011341666332	2.5
4	-2.5	2.5
4	-2.5	1.078928149591725
4	-1.1622810146946083	0.2392146034287142
4	-0.5009308630264022	0.81992258336957
5	-2.5	-1.08003108764052
5	-1.1611959135909775	-0.2371102549822034
5	-1.1622810146946083	0.23921460342871417
5	-2.5	1.078928149591725
