group	x	y
0	-2.5	-2.5
0	-0.2512183317371377	-2.5
0	-0.49989825152368766	-0.811360489601585
0	-1.1617816443796438	-0.2334352906079887
0	-2.5	-1.0846305375015797
1	2.5	-2.5
1	2.5	0.009723668722730613
1	0.32074333771184965	0.0033196309950979403
1	-0.49989825152368766	-0.8113604896015847
1	-0.2512183317371377	-2.5
2	-0.5051443881337838	0.8092827922443688
2	0.32074333771184965	0.0033196309950979403
2	2.5	0.009723668722730613
2	2.5	2.5
2	-0.27003640301767745	2.5
3	-0.49989825152368794	-0.8113604896015849
3	0.3207433377118497	0.003319630995098055
3	-0.5051443881337837	0.8092827922443689
3	-1.16328113585541	0.22794671235735908
3	-1.1617816443796438	-0.2334352906079887
4	-0.27003640301767745	2.5
4	-2.5	2.5
4	-2.5	1.065659779505187
4	-1.16328113585541	0.22794671235735903
4	-0.5051443881337837	0.8092827922443688
5	-2.5	-1.0846305375015797
5	-1.1617816443796438	-0.23343529060798862
5	-1.16328113585541	0.22794671235735894
5	-2.5	1.065659779505187
