group	x	y
0	1.5164741238920705	-1.056060803166126
0	0.6546306865188989	-0.06203535763673328
0	0.29613626073657345	-0.2354374850059593
0	-0.26778381097529635	-2.5
0	1.432429434963578	-2.5
1	1.432429434963578	-2.5
1	2.5	-2.5
1	2.5	-0.28805339231884025
1	1.5164741238920705	-1.0560608031661254
2	2.5	2.5
2	0.14894586400794488	2.5
2	0.8281824918438037	0.4161150382437061
2	2.5	0.8104737681099875
3	2.5	-0.28805339231884025
3	2.5	0.8104737681099875
3	0.8281824918438037	0.4161150382437061
3	0.6546306865188989	-0.06203535763673325
3	1.5164741238920703	-1.0560608031661258
4	0.148945864007945	2.5
4	-2.5	2.5
4	-2.5	1.0567093790648736
4	0.29613626073657334	-0.23543748500595924
4	0.6546306865188989	-0.062035357636733165
4	0.8281824918438035	0.4161150382437061
5	-2.5	1.0567093790648736
5	-2.5	-2.5
5	-0.26778381097529635	-2.5
5	0.29613626073657334	-0.23543748500595924
