group	x	y
0	-2.5	-2.5
0	1.2759292229404053	-2.5
0	1.0520103777378704	-0.9950514975017287
0	0.36534117053912935	-0.3988678027409546
0	-2.5	-2.210334991793345
1	2.5	-2.5
1	2.5	-0.00043593869178834056
1	2.0550087547916602	-0.0013056514143446308
1	1.0520103777378704	-0.9950514975017285
1	1.2759292229404053	-2.5
2	1.0435020652819644	0.9897856308920886
2	2.0550087547916607	-0.0013056514143446314
2	2.5	-0.00043593869178834056
2	2.5	2.5
2	1.2591153981399397	2.5
3	1.0520103777378709	-0.9950514975017292
3	2.0550087547916607	-0.0013056514143446889
3	1.0435020652819642	0.9897856308920885
3	0.3633770057087808	0.3927245526348035
3	0.36534117053912935	-0.3988678027409545
4	1.2591153981399397	2.5
4	-2.5	2.5
4	-2.5	2.178433080084608
4	0.3633770057087808	0.3927245526348035
4	1.043502065281964	0.9897856308920883
5	-2.5	-2.2103349917933452
5	0.3653411705391294	-0.39886780274095474
5	0.3633770057087808	0.3927245526348036
5	-2.5	2.178433080084608
