group	x	y
0	-2.5	-2.5
0	-0.5847064423077785	-2.5
0	-0.6642458332197813	-0.057600316272611835
0	-2.5	-0.02905921646168635
1	-0.664245833219781	-0.05760031627261183
1	-0.5874178728940235	0.04520818262336906
1	-0.6673679004222084	2.5
1	-2.5	2.5
1	-2.5	-0.02905921646168635
2	-0.5874178728940236	0.04520818262336911
2	-0.6642458332197811	-0.05760031627261192
2	-0.5847064423077785	-2.5
2	2.5	-2.5
2	2.5	-0.0026293298927979256
3	2.5	2.5
3	-0.6673679004222084	2.5
3	-0.5874178728940235	0.04520818262336912
3	2.5	-0.0026293298927979256
